0.00	-0.030	
0.11	-0.028	0.009
0.13	-0.028	0.009
0.14	-0.028	0.009
0.16	-0.028	0.009
0.17		0.009
0.28	-0.023	0.009
0.30	-0.022	0.009
0.31	-0.022	0.009
0.32	-0.020	0.009
0.34	-0.020	0.008
0.35	-0.019	0.008
0.37	-0.018	0.008
0.38	-0.018	
0.49	-0.010	0.007
0.51	-0.008	0.007
0.52		
0.73		0.003
0.84	0.012	0.003
0.86	0.013	0.002
0.87	0.013	0.001
0.88	0.014	0.001
0.89	0.014	0.001
0.91		0.000
1.02	0.017	
1.13	0.017	
1.24	0.016	-0.003
1.26	0.015	-0.003
1.27		
1.48		-0.004
1.60	0.004	-0.004
1.61	0.002	-0.004
1.63	0.002	
1.74	-0.002	-0.003
1.75	-0.003	-0.003
1.77	-0.003	-0.003
1.78		-0.001
1.90	-0.007	0.000
1.91	-0.007	0.000
1.92	-0.007	0.000
1.94	-0.008	
2.05	-0.010	0.001
2.07		0.004
2.18	-0.011	0.004
2.19		0.005
2.31	-0.010	0.005
2.32		0.007
2.44	-0.008	0.007
2.45	-0.008	0.007
2.47	-0.008	0.008
2.48	-0.008	0.008
2.49		0.008
2.60	-0.007	
2.72	-0.006	0.009
2.73	-0.005	
2.84	-0.004	0.009
2.85		0.008
2.97	-0.004	0.008
2.98		0.007
3.09		0.005
3.20	-0.004	
3.32	-0.004	0.004
3.33	-0.004	0.004
3.35	-0.004	0.004
3.36	-0.004	0.004
3.37	-0.004	0.003
3.39	-0.004	0.003
3.40	-0.004	
3.51	-0.004	0.001
3.53	-0.004	0.001
3.54	-0.004	0.001
3.55	-0.004	0.000
3.57		-0.001
3.68	-0.003	-0.001
3.69	-0.003	-0.001
3.70	-0.003	
3.81	-0.002	-0.003
3.83	-0.002	-0.003
3.84		-0.004
3.95	0.000	-0.004
3.97	0.000	-0.004
3.98	0.001	-0.004
3.99		
4.20		-0.003
4.31	0.005	-0.003
4.33	0.005	-0.003
4.34	0.005	-0.003
4.36	0.005	-0.003
4.37	0.005	-0.003
4.38	0.005	
4.50	0.006	-0.001
4.51	0.006	-0.001
4.52	0.006	0.000
4.54		0.001
4.65	0.005	0.001
4.66	0.005	0.001
4.68		0.003
4.79	0.004	
4.90	0.001	0.005
4.91	0.001	0.005
4.93	0.001	
5.04	-0.002	0.007
5.06		
5.27	-0.008	0.008
5.28	-0.008	
5.39	-0.011	0.009
5.41	-0.012	0.009
5.42	-0.012	
5.54	-0.014	0.009
5.55	-0.014	0.009
5.56	-0.014	0.009
5.57	-0.015	0.009
5.59		0.008
5.70		0.007
5.81	-0.015	0.007
5.82	-0.015	0.007
5.84		0.005
5.95	-0.012	
6.06	-0.010	0.004
6.07	-0.010	
6.19	-0.006	0.002
6.20		0.000
6.31	-0.002	0.000
6.32		-0.001
6.44		-0.003
6.55		-0.003
6.66	0.008	-0.003
6.67	0.009	-0.003
6.69	0.009	-0.003
6.70	0.009	-0.004
6.71	0.009	-0.004
6.73	0.009	-0.004
6.74	0.009	-0.004
6.75	0.009	
6.86	0.010	-0.004
6.88	0.010	-0.004
6.89	0.010	
7.00		-0.003
7.11	0.008	-0.003
7.13		-0.001
7.24	0.006	-0.001
7.25	0.006	-0.001
7.27	0.005	-0.001
7.28		0.001
7.39	0.002	0.001
7.41	0.002	0.001
7.42		0.003
7.53	0.000	0.003
7.54	0.000	
7.65		0.007
7.77	-0.006	0.007
7.78	-0.007	0.007
7.79		
8.01	-0.011	0.009
8.02		0.009
8.13	-0.013	
8.25	-0.014	0.009
8.26	-0.014	0.009
8.27		0.008
8.38	-0.013	0.008
8.40		0.007
8.51	-0.011	0.007
8.52	-0.011	
8.63	-0.010	0.004
8.65		0.003
8.76	-0.006	0.003
8.77	-0.006	
8.89	-0.003	
9.00	0.001	
9.11	0.004	-0.003
9.12	0.004	-0.003
9.14		-0.004
9.25	0.006	-0.004
9.26		-0.004
9.37	0.009	-0.004
9.39	0.009	-0.004
9.40	0.009	-0.004
9.41		-0.003
9.53	0.009	-0.003
9.54	0.009	
9.65		0.000
9.77	0.006	0.000
9.78	0.006	0.000
9.79	0.006	0.001
9.81	0.006	
9.92	0.004	
10.03	0.001	
10.15		
10.36	-0.010	
10.47	-0.013	0.009
10.49	-0.014	0.009
10.50	-0.014	0.009
10.51	-0.014	0.009
10.53	-0.014	0.009
10.54	-0.015	
10.65	-0.016	0.008
10.67	-0.016	
10.78	-0.016	
10.89	-0.015	0.003
10.91	-0.015	
11.02	-0.012	0.001
11.03	-0.011	
11.15	-0.007	-0.001
11.16	-0.006	-0.001
11.17		-0.003
11.28	0.000	-0.003
11.30	0.001	
11.41	0.006	-0.004
11.42	0.006	
11.54	0.010	-0.004
11.55		-0.003
11.66		-0.001
11.77	0.015	
11.89		0.003
12.00	0.012	0.003
12.01		0.005
12.12		0.007
12.23	0.002	
12.35	-0.004	
12.46	-0.011	
12.57	-0.016	
12.69	-0.021	0.008
12.70	-0.022	0.008
12.71	-0.022	0.008
12.73	-0.022	0.008
12.74	-0.023	
12.85	-0.024	0.007
12.87		
13.08	-0.020	
13.19	-0.015	0.001
13.21		-0.001
13.32	-0.007	-0.001
13.33		-0.003
13.44	0.002	-0.003
13.46	0.004	-0.003
13.47		-0.004
13.58	0.012	-0.004
13.60	0.013	-0.004
13.61	0.013	
13.72	0.018	-0.004
13.73	0.018	
13.85		
14.06		0.003
14.17	0.015	0.003
14.19	0.014	0.003
14.20		0.005
14.31		0.007
14.43		0.008
14.54		0.009
14.65	-0.016	0.009
14.66	-0.018	0.009
14.68	-0.019	0.009
14.69	-0.019	0.009
14.71	-0.020	0.009
14.72	-0.021	0.009
14.73	-0.022	0.009
14.74	-0.022	0.009
14.76	-0.023	
14.87	-0.027	0.008
14.88	-0.028	0.008
14.89		0.007
15.01	-0.030	
15.12	-0.027	0.005
15.13	-0.027	0.005
15.14	-0.027	0.005
15.16		0.003
15.27	-0.020	0.003
15.28	-0.019	0.002
15.29	-0.019	
15.40	-0.011	0.000
15.42	-0.010	0.000
15.43		-0.003
15.54	0.001	-0.003
15.56		-0.003
15.67	0.012	-0.003
15.68	0.012	-0.004
15.69	0.013	
15.81	0.020	-0.004
15.82		-0.004
15.93	0.025	-0.003
15.94		-0.003
16.06	0.026	
